CAMPAIGN_ID,CAMPAIGN_TYPE,CHANNEL_USED,CUSTOMER_SEGMENT,CONVERSION_RATE,ROI_RATE,COST_CLEAN,EFFECIENCY
1,Email,Google Ads,Health & Wellness,0.04,6.29,16174,0.0003888957586
2,Email,Google Ads,Fashionistas,0.12,5.61,11566,0.0004850423656
3,Influencer,YouTube,Outdoor Adventurers,0.07,7.18,10200,0.0007039215686
4,Display,YouTube,Health & Wellness,0.11,5.55,12724,0.0004361835901
5,Email,YouTube,Health & Wellness,0.05,6.5,16452,0.000395088743
6,Display,Instagram,Foodies,0.07,4.36,9716,0.0004487443392
7,Email,Website,Tech Enthusiasts,0.13,2.86,11067,0.000258425951
8,Search,Google Ads,Outdoor Adventurers,0.08,5.55,13280,0.0004179216867
9,Social Media,Facebook,Tech Enthusiasts,0.09,6.73,18066,0.0003725229713
10,Email,Instagram,Tech Enthusiasts,0.09,3.78,13766,0.0002745895685
11,Display,Email,Tech Enthusiasts,0.12,3.49,8590,0.0004062863795
12,Influencer,Google Ads,Foodies,0.05,3.59,17502,0.0002051194149
13,Social Media,Facebook,Tech Enthusiasts,0.09,4.91,17189,0.000285647798
14,Email,Instagram,Health & Wellness,0.14,7.06,9975,0.0007077694236
15,Display,Website,Outdoor Adventurers,0.04,5.28,11346,0.0004653622422
16,Social Media,YouTube,Health & Wellness,0.11,2.91,9407,0.0003093441055
17,Display,Website,Fashionistas,0.08,4.53,5478,0.0008269441402
18,Influencer,Instagram,Health & Wellness,0.14,4.48,9485,0.0004723247232
19,Social Media,Google Ads,Foodies,0.07,6.08,19224,0.0003162713275
20,Influencer,Google Ads,Tech Enthusiasts,0.09,3.83,10258,0.0003733671281
21,Search,Email,Outdoor Adventurers,0.04,7.99,16580,0.0004819059107
22,Influencer,Facebook,Foodies,0.02,6.21,12824,0.0004842482845
23,Social Media,YouTube,Health & Wellness,0.13,2.12,8699,0.0002437061731
24,Email,Facebook,Health & Wellness,0.04,7.31,17608,0.0004151522035
25,Social Media,YouTube,Fashionistas,0.07,6.03,8773,0.000687336145
26,Search,Instagram,Health & Wellness,0.04,6.23,14756,0.0004222011385
27,Email,Facebook,Fashionistas,0.09,6.03,9182,0.0006567196689
28,Email,YouTube,Foodies,0.07,3.29,6601,0.0004984093319
29,Influencer,Email,Tech Enthusiasts,0.09,7.12,11552,0.0006163434903
30,Social Media,Email,Tech Enthusiasts,0.09,3.61,11608,0.000310992419
31,Search,Instagram,Tech Enthusiasts,0.07,2.77,13124,0.0002110637001
32,Influencer,YouTube,Foodies,0.07,6.83,13245,0.0005156662892
33,Display,Email,Foodies,0.06,4.42,5796,0.000762594893
34,Influencer,Google Ads,Health & Wellness,0.14,2.71,15082,0.000179684392
35,Influencer,YouTube,Fashionistas,0.07,7.81,18332,0.0004260309841
36,Display,Instagram,Health & Wellness,0.09,2.51,13256,0.0001893482197
37,Display,Email,Foodies,0.04,7.24,15779,0.0004588376957
38,Influencer,Facebook,Tech Enthusiasts,0.06,2.62,7683,0.0003410126253
39,Search,Instagram,Tech Enthusiasts,0.11,2.21,14742,0.0001499118166
40,Search,Google Ads,Fashionistas,0.08,6.97,15495,0.0004498225234
41,Social Media,Website,Foodies,0.04,4.57,18684,0.0002445943053
42,Search,Email,Foodies,0.01,3.44,13096,0.0002626756261
43,Display,Instagram,Fashionistas,0.09,5.6,7818,0.0007162957278
44,Display,Instagram,Fashionistas,0.09,4.77,8214,0.000580715851
45,Email,Google Ads,Tech Enthusiasts,0.04,3.31,6882,0.0004809648358
46,Display,Google Ads,Health & Wellness,0.03,6.8,13470,0.0005048255382
47,Search,YouTube,Foodies,0.06,7.4,14948,0.000495049505
48,Social Media,Instagram,Health & Wellness,0.04,3.8,15255,0.0002490986562
49,Display,Facebook,Tech Enthusiasts,0.1,5.25,9510,0.0005520504732
50,Social Media,Email,Tech Enthusiasts,0.11,3.98,7521,0.0005291849488
51,Search,Facebook,Foodies,0.12,5.79,10405,0.0005564632388
52,Search,Website,Foodies,0.1,6.48,15955,0.0004061422751
53,Email,Facebook,Tech Enthusiasts,0.13,7.62,15428,0.0004939071817
54,Display,YouTube,Outdoor Adventurers,0.02,3.35,19832,0.0001689189189
55,Social Media,YouTube,Foodies,0.05,6.15,17375,0.0003539568345
56,Display,Website,Health & Wellness,0.13,3.7,8903,0.0004155902505
57,Email,Website,Foodies,0.04,6.66,14511,0.0004589621666
58,Email,Email,Fashionistas,0.06,2.7,17305,0.0001560242704
59,Email,Email,Foodies,0.04,4.93,18063,0.0002729336212
60,Display,Email,Health & Wellness,0.05,6.8,10293,0.0006606431555
61,Email,Email,Fashionistas,0.05,2.27,8785,0.0002583949915
62,Email,Email,Tech Enthusiasts,0.09,5.32,13848,0.0003841709994
63,Influencer,Email,Foodies,0.01,7.04,14435,0.0004877034984
64,Search,Facebook,Outdoor Adventurers,0.02,3.71,14001,0.0002649810728
65,Display,Website,Fashionistas,0.11,7.43,8841,0.0008404026694
66,Search,YouTube,Health & Wellness,0.04,7.28,11366,0.0006405067746
67,Display,YouTube,Foodies,0.07,6.33,12910,0.0004903175833
68,Search,YouTube,Tech Enthusiasts,0.12,2.72,7823,0.000347692701
69,Display,Facebook,Tech Enthusiasts,0.03,7.98,11864,0.0006726230614
70,Email,Facebook,Foodies,0.1,4.74,17414,0.0002721947858
71,Search,Website,Tech Enthusiasts,0.13,5.58,18201,0.0003065765617
72,Social Media,Email,Health & Wellness,0.03,5.61,9549,0.0005874960729
73,Social Media,YouTube,Health & Wellness,0.13,7.46,16635,0.0004484520589
74,Influencer,Facebook,Foodies,0.1,5.63,9310,0.000604726101
75,Display,YouTube,Health & Wellness,0.11,6.67,5158,0.001293136875
76,Search,Instagram,Fashionistas,0.04,2.03,15182,0.0001337109735
77,Display,Google Ads,Foodies,0.08,3.23,5703,0.0005663685779
78,Search,Google Ads,Health & Wellness,0.02,4.82,12008,0.0004013990673
79,Display,Google Ads,Outdoor Adventurers,0.13,7.74,15850,0.0004883280757
80,Influencer,Email,Fashionistas,0.1,6.57,9813,0.0006695200245
81,Influencer,Google Ads,Outdoor Adventurers,0.14,7.62,19300,0.0003948186528
82,Social Media,YouTube,Foodies,0.12,6.33,17772,0.0003561782579
83,Influencer,Facebook,Outdoor Adventurers,0.1,3.74,17293,0.0002162724802
84,Search,YouTube,Health & Wellness,0.08,3.99,8398,0.0004751131222
85,Influencer,Email,Health & Wellness,0.15,2.3,15866,0.0001449640741
86,Social Media,YouTube,Foodies,0.13,7.38,7515,0.0009820359281
87,Email,YouTube,Fashionistas,0.15,2.22,19026,0.0001166824346
88,Search,Facebook,Outdoor Adventurers,0.14,7.89,8280,0.0009528985507
89,Display,Google Ads,Tech Enthusiasts,0.1,4.41,18251,0.0002416305956
90,Display,Instagram,Tech Enthusiasts,0.07,2.01,13108,0.0001533414709
91,Influencer,YouTube,Foodies,0.09,6.98,15477,0.0004509917943
92,Email,Email,Outdoor Adventurers,0.09,7,17705,0.00039536854
93,Display,Instagram,Fashionistas,0.05,2.57,18470,0.0001391445587
94,Display,Instagram,Health & Wellness,0.01,7.19,14438,0.0004979914116
95,Search,Facebook,Foodies,0.08,4.93,6278,0.0007852819369
96,Social Media,Email,Tech Enthusiasts,0.08,4.61,5185,0.0008891031823
97,Email,Instagram,Health & Wellness,0.14,3.69,18799,0.0001962870365
98,Search,Facebook,Fashionistas,0.04,7.96,7365,0.001080787508
99,Search,Instagram,Foodies,0.02,3.12,6565,0.0004752475248
100,Display,Facebook,Tech Enthusiasts,0.09,5.58,9022,0.0006184881401
101,Search,YouTube,Foodies,0.07,4.86,18735,0.000259407526
102,Search,YouTube,Tech Enthusiasts,0.09,4.54,9941,0.0004566944975
